hospital_id,hospital_name,empanelled_for,address,region,list_type,applicable_rate,contact_person
HOSP0090,Brahmshakti Sanjivani Superspeciality Hospital,Multispeciality,"Opp BSNL Exchange, Rohtak Road, Bahadurgarh, Haryana",NCR,Nominated,CGHS rates for CGHS listed items,"Bimal Kumar, 9718376499"
HOSP0091,Metro Heart Institute with Multispecialty Hospital,Multispeciality,"Sec-16A, Faridabad",NCR,Nominated,CGHS rates for CGHS listed items,"Bikram, 9711380456"
HOSP0092,Sharp Sight Centre,Ophthalmology,"A-15, Swasthya Vihar (Opp. Preet Vihar), Vikas Marg, Delhi-92 (Head Branch)",Delhi/NCR,Nominated - Eye Clinic,CGHS rates (excl. diagnostics) + 10% discount non-CGHS,"Archana Verma, 9582211733"
HOSP0093,Sharp Sight Centre,Ophthalmology,"7B, Basement, Main Pusa Road, Rajendra Place, New Delhi-5",Delhi/NCR,Nominated - Eye Clinic,CGHS rates (excl. diagnostics) + 10% discount non-CGHS,"Archana Verma, 9582211733"
HOSP0094,Sharp Sight Centre,Ophthalmology,"5, Ground & 1st Floor, Aradhana Enclave, Sec-13, R.K. Puram, New Delhi-23",Delhi/NCR,Nominated - Eye Clinic,CGHS rates (excl. diagnostics) + 10% discount non-CGHS,"Archana Verma, 9582211733"
HOSP0095,Sharp Sight Centre,Ophthalmology,"103, Aditya Gold Crest, 1st Floor, Vaibhav Khand, Indirapuram, Ghaziabad",Delhi/NCR,Nominated - Eye Clinic,CGHS rates (excl. diagnostics) + 10% discount non-CGHS,"Archana Verma, 9582211733"
HOSP0096,Sharp Sight Centre,Ophthalmology,"B2/1, North Chajjupur 100 ft Road, Durgapuri, Shahdara, Delhi-32",Delhi/NCR,Nominated - Eye Clinic,CGHS rates (excl. diagnostics) + 10% discount non-CGHS,"Archana Verma, 9582211733"
HOSP0097,Centre for Sight - Ashok Vihar,Ophthalmology,"B 2/6, Ashok Vihar Phase-2, Delhi-52",Delhi/NCR,Nominated - Eye Clinic,CGHS rates for CGHS items + 10% discount rest (excl. lens/Femto Laser),"Abhishek Kumar, 9650044492"
HOSP0098,Centre for Sight - Dwarka,Ophthalmology,"Plot 9, Sec-9, Dwarka, New Delhi-75",Delhi/NCR,Nominated - Eye Clinic,CGHS rates for CGHS items + 10% discount rest (excl. lens/Femto Laser),"Abhishek Kumar, 9650044492"
HOSP0099,Centre for Sight - Faridabad,Ophthalmology,"Plot 1, HUDA Market 1, Sec-16-A, Faridabad-121001",Delhi/NCR,Nominated - Eye Clinic,CGHS rates for CGHS items + 10% discount rest (excl. lens/Femto Laser),"Abhishek Kumar, 9650044492"
HOSP0100,Centre for Sight - Gurgaon,Ophthalmology,"SCO Complex-317, Sec-29, Gurgaon-122016",Delhi/NCR,Nominated - Eye Clinic,CGHS rates for CGHS items + 10% discount rest (excl. lens/Femto Laser),"Abhishek Kumar, 9650044492"
HOSP0101,Centre for Sight - Gurgaon-2,Ophthalmology,"Plot 399/1, New Railway Road, Gurgaon-122009",Delhi/NCR,Nominated - Eye Clinic,CGHS rates for CGHS items + 10% discount rest (excl. lens/Femto Laser),"Abhishek Kumar, 9650044492"
HOSP0102,Centre For Sight Ltd (Head Branch),Ophthalmology,"B-5/24, Safdarjung Enclave, Opp Deer Park, New Delhi",Delhi/NCR,Nominated - Eye Clinic,CGHS rates for CGHS items + 10% discount rest (excl. lens/Femto Laser),"Abhishek Kumar, 9650044492"
HOSP0103,Centre For Sight Ltd - Preet Vihar,Ophthalmology,"F-14 Preet Vihar, Main Vikas Marg, Delhi-92",Delhi/NCR,Nominated - Eye Clinic,CGHS rates for CGHS items + 10% discount rest (excl. lens/Femto Laser),"Abhishek Kumar, 9650044492"
HOSP0104,Centre For Sight Ltd - Rohini,Ophthalmology,"304-309, Ring Road Mall, Sec-3, Rohini, Delhi-85",Delhi/NCR,Nominated - Eye Clinic,CGHS rates for CGHS items + 10% discount rest (excl. lens/Femto Laser),"Abhishek Kumar, 9650044492"
HOSP0105,Centre for Sight - Rajouri Garden,Ophthalmology,"J-12/30, Rajouri Garden, New Delhi-27",Delhi/NCR,Nominated - Eye Clinic,CGHS rates for CGHS items + 10% discount rest (excl. lens/Femto Laser),"Abhishek Kumar, 9650044492"
HOSP0106,Centre for Sight - Vikas Puri,Ophthalmology,"A3, Opp Metro Pillar 628, Najafgarh Road, Vikas Puri, Delhi-18",Delhi/NCR,Nominated - Eye Clinic,CGHS rates for CGHS items + 10% discount rest (excl. lens/Femto Laser),"Abhishek Kumar, 9650044492"
HOSP0107,Centre for Sight - Indirapuram,Ophthalmology,"C-6, Shakti Khand-4, Near DPS, Indirapuram, Ghaziabad, UP",Delhi/NCR,Nominated - Eye Clinic,CGHS rates for CGHS items + 10% discount rest (excl. lens/Femto Laser),"Abhishek Kumar, 9650044492"
HOSP0108,Dr. L.H. Hiranandani Hospital,Multispeciality,"Hill Side Avenue, Hiranandani Garden, Powai, Mumbai-76",Mumbai,Nominated,10% discount IPD/OPD (excl. drugs/consumables/radiology),"Navin, 9869021808"
HOSP0109,Fortis Hospital Mulund,Multispeciality,"Mulund, Mulund Goregaon Link Road, Mumbai",Mumbai,Nominated,10% discount IPD/OPD (excl. packages/pharmacy/consumables),"Ganesh Pujari, 9167488994"
HOSP0110,Hi-Tech Emergency Hospital,Multispeciality,"Saguna More, Khagaul Road, Danapur, Patna-801503",Patna,Nominated,15% discount (excl. medicines/implants/outside tests),"Dr Kumud Kamini, 8651784082"
HOSP0111,Savera Cancer & Multispeciality Hospital,Multispeciality,"Dr R.N. Singh Road, Kankarbagh, Patna-800020",Patna,Nominated,Hospital rates with 12% discount,"Raushan Kumar, 9905866686"
HOSP0112,Ford Hospital & Research Centre Pvt Ltd,Multispeciality,"New Bypass (NH-30), Khemanichak, Ramakrishna Nagar, Patna-800027",Patna,Nominated,Hospital rates with 15% discount,"Santosh Kumar, 9102698974"
HOSP0113,Heart Hospital Pvt Ltd,Cardiology,"B-29, Patrakar Nagar, Kankarbagh, Patna-800020",Patna,Nominated,CGHS rates for CGHS listed items,"Varun Kumar, 9835119335"
HOSP0114,Indraprastha Apollo Hospitals,Annual Comprehensive Medical Check-up,"Mathura Road, Sarita Vihar, New Delhi-76",Delhi/NCR,Annual Checkup,N/A,See main hospital listing
HOSP0115,Max Healthcare Institute Ltd,Annual Comprehensive Medical Check-up,"N-110, Panchsheel Park, New Delhi-17",Delhi/NCR,Annual Checkup,N/A,See main hospital listing
HOSP0116,Max Superspeciality Hospital 1 (West Block),Annual Comprehensive Medical Check-up,"1, Press Enclave Road, Saket, New Delhi-17",Delhi/NCR,Annual Checkup,N/A,See main hospital listing
HOSP0117,Max Hospital Noida,Annual Comprehensive Medical Check-up,"A-364, Sector-19, Noida",Delhi/NCR,Annual Checkup,N/A,See main hospital listing
HOSP0118,Max Hospital Gurgaon,Annual Comprehensive Medical Check-up,"Block-B, Sushant Lok Phase-1, Gurgaon",Delhi/NCR,Annual Checkup,N/A,See main hospital listing
HOSP0119,Max Vaishali (Crosslay Remedies Ltd),Annual Comprehensive Medical Check-up,"W-3, Sec-1, Vaishali, Ghaziabad-201012",Delhi/NCR,Annual Checkup,N/A,See main hospital listing
HOSP0120,Cygnus MLS Superspeciality Hospital,Multispeciality,"Plot 4, Kanjhawala Road, Rama Vihar, New Delhi-81",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Ramesh Chand, 9773630282"
HOSP0121,Cygnus Sonia Hospital,Multispeciality,"1, Gulshan Park, Main Rohtak Road, Nangloi, Delhi-41",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Dr Mahender Mittal, 9555560455"
HOSP0122,Delhi Heart & Lung Institute,Cardiology/CTVS/Oncology/Pulmonology,"3 MM-II Panchkuian Road, New Delhi-55",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Shafiq Khan, 9873364636"
HOSP0123,Gandhi Hospital,Multispeciality,"C-50&51 Om Vihar, Uttam Nagar, New Delhi-59",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Dr Pawan Gandhi, 9312222922"
HOSP0124,Indraprastha Apollo Hospital,Multispeciality,"Sarita Vihar, Mathura Road, Delhi-76",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Bishnu, 7042632227"
